Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var
dance1.wav,0.48998797,0.03304058,0.40065697,0.07854896,3031.744451125751,262402.1117756944,6690.902879503038,862981.1568806282
dance10.wav,0.5119854,0.026402516,0.32360855,0.08922711,3521.691436091697,615706.2956253637,7611.610130747413,1425983.8224495384
dance100.wav,0.55288136,0.03136354,0.39578587,0.08595283,2075.578893809382,273000.71307216573,4477.564591446159,1708390.8437788973
dance11.wav,0.4563712,0.028547617,0.41995525,0.091637656,2994.065948574629,657715.8122472079,6632.300854336684,2357550.121259005
dance12.wav,0.5200972,0.027968707,0.40451267,0.09573338,2883.383617879315,985023.4828943076,6382.65742405205,2998762.5210160166
dance13.wav,0.47641015,0.027455576,0.42620352,0.08324143,3012.6091040409174,678514.3980396854,6115.046798803244,2237066.4554112474
dance14.wav,0.5053313,0.035397135,0.40213513,0.092560306,2792.5619913678415,786338.1202680151,6543.927096434791,2844085.7298569465
dance15.wav,0.5383609,0.02874259,0.38857174,0.080841154,2669.7559284685967,337249.8630774107,6079.804902918198,864033.7313447664
dance16.wav,0.53655404,0.027504666,0.3626447,0.08457378,3579.747886134858,745919.0410217792,7424.905102614648,1299432.4124724418
dance17.wav,0.48672506,0.027637681,0.43251282,0.09188498,2558.5089014268747,826480.1283925179,5735.215319937597,3511736.1279513026
dance18.wav,0.48226297,0.028148856,0.38148752,0.08521849,3156.054500426301,362560.8017486769,7041.774086022156,1324957.2576699036
dance19.wav,0.50191724,0.029209757,0.48737726,0.083254434,2851.9370134511723,304383.4392060493,6335.657144867108,1026631.8243388295
dance2.wav,0.5499333,0.030863537,0.4325545,0.09378674,2771.2601620528003,652088.7875949212,6142.886182996962,2084407.8128287902
dance20.wav,0.48960406,0.02685864,0.40992105,0.09490558,2771.9943862389514,1356340.8218622694,6024.37075475219,5442668.561158944
dance21.wav,0.5189922,0.02937688,0.3841332,0.08375532,3077.434771510964,284498.2706734494,6533.6354920000485,1165091.8698634512
dance22.wav,0.5389252,0.025882468,0.43365675,0.09155102,2230.984390599968,788409.5447118655,5061.469393987036,3535648.6423701323
dance23.wav,0.55379003,0.027045798,0.37235814,0.08411603,2923.855255371954,876678.684770059,6333.478368989454,2466807.9950644346
dance24.wav,0.5018631,0.027033126,0.39211145,0.09584875,2346.752309653881,625578.6595393915,5261.357134428254,2974948.485795728
dance25.wav,0.5358193,0.035498142,0.33180535,0.08482318,2509.5089804106456,1192019.595534816,5127.90232560952,6046923.251054773
dance26.wav,0.49704105,0.027793204,0.35883716,0.0931986,3006.2561107681527,545496.6111072715,6764.700761446643,2259867.422685216
dance27.wav,0.5580993,0.027323956,0.45403853,0.08553684,3203.097839324209,573574.0403314474,6937.841381155669,1543438.6326301696
dance28.wav,0.5030253,0.029837038,0.4249991,0.08078508,2431.124210317871,327789.50112238416,5329.983240076013,1776171.1091048531
dance29.wav,0.5401814,0.030004095,0.36222908,0.08549745,2906.8683696031453,235864.21679886727,6137.095914273648,1178244.9651723364
dance3.wav,0.5135008,0.02450438,0.38113102,0.088366084,2837.3161575518284,469059.1591152344,6499.535472972973,1998119.197384296
dance30.wav,0.49203524,0.031996172,0.3304159,0.092014834,2608.2861524300583,483163.89420202246,5522.942356418919,2183544.9050419517
dance31.wav,0.5492658,0.026783288,0.39031875,0.08766607,3180.4457054453333,393179.6033990704,6968.212265539274,1093302.7857102107
dance32.wav,0.5220588,0.028011566,0.41765004,0.083004765,2750.6517123629947,749823.2712753476,5951.189013974216,3437384.293741982
