,title,artist,lyric
10,바람 사랑 봄,어진별,"겨울에 불어온 바람이
이제는 시원하게 느껴져
거울에 물어본 바램에
어제부터 찾아온 설렘들
따뜻한 햇살 속 그대와 내가 함께 걸을 땐
열 손가락의 꽃을 피워 손을 꼭 잡아요
바람에 꼭 잡은 우리 손을 흔들며 걸으니
꽃잎이 흩날리네요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 이대로 걸어요
따뜻한 햇살 속 그대와 내가 함께 걸을 땐
열 손가락의 꽃을 피워 손을 꼭 잡아요
바람에 꼭 잡은 우리 손을 흔들며 걸으니
꽃잎이 흩날리네요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 이대로 걸어요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 그대로 있어요"
11,너에게 거는 주문,summitmusic,"one two three
너에게 작은 속삭임 하나
바람을 타고 네 귓가에 닿아
이 세상 모든 걱정 잊게 할
마법 같은 말, 지금 시작해
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라, 행복해
흐린 날도 비가 오는 밤도
너의 웃음으로 모두 씻겨나가
작은 기적을 믿어 볼 시간
너의 내일을 바꿀 주문을 외워
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라, 행복해
마법 같은 이 주문이
너의 모든 날을 밝혀줄 거야
어둠 속에서도, 너는 빛날 수 있어
행복의 노래, 함께 부르자
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라 행복해"
12,사진한장,하얀고래,"너랑 나랑 같이 걷던 길
나는 그 길에 서 있어
길꽃들 처럼 피어난 미소와 따스한 너 하나

넌 작은 화분들을 보다가
날 잡아 끌어 함께 본 그 꽃보다
꿈처럼 더 행복한 그 날, 그 속에
아직 낯익은 우리 둘 모습

하얀 미소로 수줍은 나를 바라보던 너
모든게 달라져버린 지금도 기억한다고

아직까지도 내 몸속엔 어딘가에 니 향기
남은게 하나 없는 사랑도
너와 나였으니


넌 떠나가고 혼자 남아 부르는 이 노래
행복한 모습으로 넌 있을까
기억속에 홀로 버려진 추억
마음아픈 상처는 이제 괜찮니

하얀 미소로 수줍은 나를 바라보던 너
모든게 달라져버렸다 해도 다 기억한다고

아직까지도 내 몸속엔 어딘가에 니 향기
남은게 하나 없는 사랑도
너와 나였음을 난 기억해

루 루루 루루 루루 루루
이 노랠 니가 들을 수 있다면
주고 싶었던 행복
전할 수 없었던 너 하나"
13,Only you,폴에트 (Poloet),"(Only you)

내 사랑이 마지막이라면
그대가 가장 먼저 떠올라
이건 내 영원한 상 쳐일까
내 모든 걸 잃어도 be alright
이 밤이 지나가면
다신 돌아갈 수 없어
아픔이 사라지면
그댄 어디 있을까

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게

수놓은 별처럼
내 그늘 안에도
밝게 피어나는 마음
slowly down
Anymore 그대를 잡아놓을 순 없어
if i love woo woo woo
fallin us
이제 날 봐줘 woo hoo hoo
아무 말 없이
내 곁에 와 속삭여
내게 사랑을 지금 말해줘요

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게

짙은 밤 깊은 심연 속으로
추락한 나를 끌러 올려줘
알잖아 내 전부였던 너
내일도 잊은 채 널 기다려

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게"
14,"4월 바다 (Feat. 김덕호, 정현숙)",박정환,"다시 꽃이 피고 세월은 흘러가건만
바다에 가라앉은 별은 떠오르지 않았다

눈물로 피맺힌 이들 가슴에 서러움을 새기고
구하지 않은 이유도 모른 채 멈춰버린 시간 속에

하얀 슬픔으로 피어나는 눈물의 목련이여
다시 가슴으로 살아오는 사월의 바다여


눈물로 피맺힌 이들 가슴에 서러움을 새기고
구하지 않은 이유도 모른 채 멈춰버린 시간 속에

하얀 슬픔으로 피어나는 눈물의 목련이여
다시 가슴으로 살아오는 사월의 바다여

다시 가슴으로 살아오는 사월의 바다여"
15,단아한 고백,서정,"그리움 가득 찬 이 밤
적적한 노래를 듣다
다소곳이 앉은 당신
뒷모습을 생각해요

넌 마치 별을 따러 간
사람의 고귀한 마음
나비 한 마리가 앉아
있어도 어울리겠어요

나는 사랑과 애정을 혼동하지 않아요
진심을 알아차려요
부디 사랑과 애정을 혼동하지 말아요
나의 마음은 뭘 것 같나요

나는 햇살도, 빗방울도, 새하얀 눈송이도
당신이 가장 좋아했던 날씨가 될 수 있어
시린 밤 지나고 내가 손을 내밀면
머금은 옅은 미소와 살포시 잡은 두 손

나는 사람과 마음을 같이 보지 않아요
진실을 알아차려요
부디 사람과 마음을 같이 보지 말아요
나의 마음은 뭘 것 같나요

나는 햇살도, 빗방울도, 새하얀 눈송이도
당신이 가장 좋아했던 날씨가 될 수 있어
시린 밤 지나고 내가 손을 내밀면
머금은 옅은 미소와 살포시 잡은 두 손

봄이 참 오랜만에 찾아왔으니
예쁜 마음으로 산책을 나갑시다
미친 일들에 마음을 뺏기지 말구요
난 이제 당신 하나만 믿을래요"
16,우리만의 봄이 올 테지,유얼메이트,"시간 어때 이따 뭐해 오늘 걷지 않을래 우리
바쁘진 않아 오늘 걷지 않을래

꽃잎에 적어볼 게 나의 살랑 또 불어온 마음을
조금씩 요즘 나의 살랑 불어온 마음을 가득히 담아

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를 테니
한 아름 우릴 닮은 둘만의 꽃 피어오를 테니

따스한 낮 눈 부신 햇살 두 손 잡고 있네 우리
어느새 슬쩍 두 손 잡고 있네

거리 안 사랑 가득 마치 우리 둘의 노래 같아
이 노랜 꼭 마치 우리의 노래 같아

모두 완벽해

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를테니
한 아름 우릴 닮은 둘만의 꽃 피어오를테니

지금 불어온 바람은
여기 온 이 바람은

오늘 이 마음 안 걸까 혹시
우리 마음을 안 걸까 혹시

날이 좋던데

봄 눈이 내리고 발걸음 하나둘 새겨 놓으면
봄 눈 그 위로 발걸음 하나둘 새겨 놓으면

쌓여진 마음 위로 둘만의 꽃 피어오를테니
한 아름 우릴 닮은 둘만의 꽃 피어오를테니

우리만의 봄이 올테지"
17,풀 뜯어 먹는 육식동물 (I Love Panda),이지선,"오오 나는 풀을 뜯어 먹는 육식 동물이에요
오오 나는 풀이 좋아요
오오 나는 더 이상 친구를 해치고 싶지 않아요
오오 나는 풀을 뜯어 먹는 육식 동물이에요

오오 나는 너와 친구가 되고 싶은 동물이에요
오오 나는 들판의 양들과 함께 뛰놀고 싶어요
오오 나는 너와
풀을 뜯어 먹는 육식 동물이에요

나는 그저
너와 친구가 되고 싶었을 뿐인데
(날 보고 두려워 떠나지 마)
우리 같이 뛰놀자

오오 나는 네게 사랑을 주고 싶은 동물이에요
오오 나는 네가 좋아요
오오 나는 더 이상 친구를 잃고 싶지가 않아요
오오 나는 풀을 뜯어 먹는 육식 동물이에요"
18,Really Like You (Spring Version),규빈,"오늘 기분은 맑음
구름 한 점도 없이 Fly high
저 멀리 다가오는
너에게 인사를 건네 Say hi

내 맘에 피어오른 보랏빛의 바이올렛
봄 향기처럼 불어와 내리는 꽃비처럼
Falling & Fall in love
You know what to say
너에게 말할래 ‘사실은 너를‘

I like you 처음 본 순간
I wanna you
Oh be my (I really like)
For you 서툰 맘이라도
너에게 전할래 ‘사실은 너를’
I really like you

Oh why 내 맘이 왜이래
I know why 네 맘은 어때
조심스럽게
I just wanna fall in you

너로 가득 채워진 맘
한가득 담아 네게 줄게
Woo 쏟아져 내리는 Starlight

너와 나 둘만 주고받을 수 있는 Signal
널 닮은 구름이 지나가는 저 하늘처럼
Falling & Fall in love
You know what to say
나에게 말해줘 ‘사실은 너를’

I like you 처음 본 순간
I wanna you
Oh be my (I really like)
For you 서툰 맘이라도
너에게 전할래 ‘사실은 너를’
I really like you

해 진 하늘 위 Twinkle Star
유난히 반짝여 널 만나기 전
떨리는 이 맘 안고 눈을 뜨면
너에게 말할 거야
I really really like you

With you 지금 이 순간
I’m only you
내 세상을 너에게 줄게
Are you ready for love?
같이 떠나 볼래?
You 내 손을 잡아

수줍게 건네본 고백
너와 나 우리로 이뤄진 Love
말없이 잡아준 손에
나의 맘 가득히 채워진 Love
I really like you"
19,몸치,다음,"생각대로 가는 게 뭐가 그리 어려워
마음대로 뛰는 게 뭐가 그리 어려워

많은 사람들이 너를 찾는다해도
잽싸게 숨어버리면 그만인 것을

하지 못할 말들이 뭐가 그리 어려워
하고 싶은 말들은 뭐가 그리 어려워

많은 일들이 너를 몰아붙인다해도
잽싸게 도망가버리면 그만인 것을

말이야 생각이야 뭐든 가능하지만
내 맘은 몸치라서 방향을 몰라
아무리 말해줘도 생각을 곱씹어도
내 몸은 몸치야 내 맘은 몸치야

나는 몸치야 그래 몸치야
나는 몸치야 그래 몸치야

생각대로 하는 건 너무 몰라 어려워
마음대로 노는 건 또 벅차 놀라워

내 안에 누군가가 나를 나무란대도
흥대로 춤춰버리면 그만인 것을 몰랐네
(어느 누가 내 맘을 탓하던가
어느 누가 내 맘을 탐하는 가)

말이야 생각이야 뭐든 가능하지만
내 맘은 몸치라서 방향을 몰라
아무리 말해줘도 생각을 곱씹어도
내 몸은 몸치야 내 맘은 몸치야

나는 몸치야 그래 몸치야
나는 몸치야 그래 몸치야"
