,Unnamed: 0,title,artist,lyric
10,10,Sunset,The Tunas (더 튜나스),"노을이 지고
붉게 물든 바다
잔잔한 파도가
불러주는 노래

노을 지는 하늘에
붉게 물든 바다는
내 마음을 녹이고
내일도 살아가네

오늘 우리 바다에 잠들자
편안하고 따듯한 모래 덮고서
우리같이 바다에 잠들자
잔잔히 치는 파도 소리 들으며

오늘 우리 바다에 잠들자
편안하고 따듯한 모래 덮고서
우리같이 바다에 잠들자
잔잔히 치는 파도 소리 들으며

노을이 지고
붉게 물든 바다
잔잔한 파도가
불러주는 노래

노을 지는 하늘에
붉게 물든 바다는
내 마음을 녹이고
내일도 살아가네

오늘 우리 바다에 잠들자
편안하고 따듯한 모래 덮고서
우리같이 바다에 잠들자
잔잔히 치는 파도 소리 들으며

오늘 우리 바다에 잠들자
편안하고 따듯한 모래 덮고서
우리같이 바다에 잠들자
잔잔히 치는 파도 소리 들으며"
11,11,빙빙!,HU:MIN,"누군가는 사랑을 하고
누군가는 낭만을 원해
언젠가는 올라가게 될
저 하늘 위를 보는 우리

높은 구름 바로 밑에서
관심속에 취해있는 우리
저 꿈 속을 깊이 더 깊이
헤엄치는 저 소용돌이

진짜 모습은 가린채
서로 눈치만 보고 있네

우린 돌아 빙빙빙
남들의 시선은 저 멀리 내려놓고
다시 여기 빙빙빙
뜨겁게 맴돌아 이곳을 태우자
우린 돌아 빙빙빙
남들의 시선은 저 멀리 내려두고
다시 여기 빙빙빙
뜨겁게 맴돌아 이곳을 태워

Ooh 날 바라봐요 오늘 하루는
내려놔 봐요
Ooh 날 따라와요 오늘 하루는
진실을 봐요

진짜 모습은 가린채
서로 눈치만 보고 있네

우린 돌아 빙빙빙
남들의 시선은 저 멀리 내려놓고
다시 여기 빙빙빙
뜨겁게 맴돌아 이곳을 태우자
우린 돌아 빙빙빙
남들의 시선은 저 멀리 내려두고
다시 여기 빙빙빙
뜨겁게 맴돌아 이곳을 태워"
12,12,기억,Mensheviks,"어지러운 내 머리 속에서 더 이상 널 찾을 수 없어
이제 더는 너의 생각과 너의 목소리가 그립지 않아
어지럽던 내 머리 속에서 이제 너는 떠나버렸어
이제 더는 너의 모습이 내 앞에 아른거리지 않아

하지만 언젠가 너를 다시 본다면
그떈 우리 기억들이 날 다시 네게 보내주겠지
우리 함꼐한 좋은 추억들 나에게는 족쇠가 되어
날 다시 너의 품속에 깊게 안기고 싶게 하겠지

어지러운 내 머리 속에서 더 이상 널 찾을 수 없어
이제 더는 너의 생각과 너의 목소리가 그립지 않아
어지럽던 내 머리 속에서 이제 너는 떠나버렸어
이제 더는 너의 모습이 내 앞에 아른거리지 않아
어지러운 내 머리 속에서 더 이상 널 찾을 수 없어
이제 더는 너의 생각과 너의 목소리가 그립지 않아
어지럽던 내 머리 속에서 이제 너는 떠나버렸어
이제 더는 너의 모습이 내 앞에 아른거리지 않아

하지만 언젠가 나를 다시 본다면
그땐 우리 기억들이 너를 다시 내게 보내주겠지
우리 함께한 좋은 추억들 너에게는 족쇠가되어
너를 다시 나의 품속에 깊게 안기고 싶게 하겠지
날 이젠 보내줘 난 널 잊고싶어서
잊은줄 알았는데 결국 또 다시 제자리인걸
나는 다시 한숨을 쉬고 너를 바라보면서
다시 가슴이 뛰는걸 느껴버린걸 어떡해야해"
13,13,봄에 도착,신서울,"잠깐 내 말을 좀 들어볼래 꼭 할 얘기가 있어서 그래 나 어릴적부터 이런 말할 땐 멈춰서야 해
잠깐 내 손을 좀 잡아줄래 길을 잃을 것 같아서 그래 나 어릴적부터 이런 일엔 통 감각이 없어
너의 손을 잡으면 난 겁이 없어져
조금 헤메더라도 괜찮을 것 같아
너의 손을 잡으면 어떤 길로 가든 봄에 도착해 그럼 도착한 봄에서 우리 떠나지 말고 같이 누울래
잠깐 내 품에 좀 들어올래 잠이 오질 않아서 그래 나 어릴 적부터 이런 밤을 늘 궁금해했어
너를 품에 안아도 잠이 오진 않아
이대로 밤을 새도 괜찮을 것 같아
너를 품에 안으면 눈을 뜨고서도 꿈에 도착해
그럼 도착한 꾸에서 우리 깨지도 말고 좀 더 안을래
도착한 봄에서 같이 꿈을 꾸면서 같이 있을래"
14,14,데미안 (Feat. 변하은),Joymin (조이민),"달을 태우는 햇빛에
지친 날 일으켜요

날 애태우는 몸짓에
시린 날이 비쳐요

아름다운 시절의
이유를 들려줘요

자유로운 새들의
이름을 불러줘요

멍한 시선을 거둔 채
잠시 두 눈을 감아요

까만 밤이 드리울 때
틈 사이 빛을 느껴봐요

지나간 건 다시 오지 않아 아니야
못다 한 건 어제 꾼 꿈만이 아니야

저 틈 사이 비추는 빛은
네가 내일 따라갈 기분

아름다운 시절의
이유를 들려줘요

자유로운 새들의
이름을 불러줘요"
15,15,"Dementia (Feat. 수성매직, 김성윤)",Antideprexxant,"언제부턴가 너의 모든 것이 기억나지 않아
네 따스한 온기마저 너의 아픔들까지도
우리의 남은 기억들은 대체 뭐가 남았지
어째서 아직도

잊었니 잊었니
난 그 무엇도 생각나지 않아
기억해 생각해
시간이 널 데려올 줄 알았어

너에겐 아직도 소중한 뭔가 남았니
나에겐 아직도 무엇도 들리지 않아
너에겐 아직도 날 지킬 이윤 있었니
나에겐 앞으로 길이 존재하질 않아


울리지 못한 기타소리 따윈 흘러갔겠지
옮기지 못한 멜로디는 이미 끝나버렸지
내가 살아온 흔적 의미조차 흩어졌겠지
덧없이 내일로

괜찮니 잘 있니
난 이미 괜찮진 않은 것 같아

넌 왜 넌 왜
그걸 말했어야해
난 왜 난 왜
무엇도 하지 못했어

우리의 웃음소리가 끊질 않던 나날들
우리의 울음소리도 나누었던 나에게
하지만 너의 자리를 지켜 주지 못했어
나는 날 위해 나를 떠나줄거야 아 아 아아

우리의 마지막 순간을 빌어 주지 않겠니
우리의 마지막 인사를 받아 주지 않겠니
마지막 추억 흔적조차 남아 있지 않지만
마지막 인사를
내가 남길 수 있는 무언가를 찾아야만 해
이미 부서진 기타마저 얼마 안 되는 기억도
나의 마지막 숨이 조금이라도 붙어있는 한
네게 사랑한다 고맙단 말도 해 볼 수 있을까
오오"
16,16,HYPERTONIC,TAN(티에이엔),"Hy - Hyper - Tonic
Hy - Hyper - Tonic
Hy - Hyper - Tonic
Hy - Hyper - Tonic

Take it slow now
혈관 속의 fever 깊이 퍼져

아찔해 So high
girl, i've been waiting for this good time

you're the reason
솟구치는 DOPAMINE
just make the decision
상관없어 so
what you wanna do

터질듯한 감정
when i see that ur really picture perfect

i mean it, im leanin

폭발해 ADRENALINE

숨 떨리는 이 자극
it's to die for - die - die for
끊어지는 이성에
got me spinnin around

Hy - Hyper - Tonic
Hy - Hyper - Tonic
HYPER
Hy - Hyper - Tonic

Keepin it Hypertonic

I make you feel the flashing lights
하루 종일 burning bright
겁먹지 말고 날 봐, don't you want it, want it

Livin' in R.E.M.
온몸을 dominate
Don't want this all to the end

(Slow it Down)

I finally found

you're the reason
쏟아지는 DOPAMINE
just make the decision
상관없어 so
what you wanna do

터질듯한 감정
when i see that ur really picture perfect

i mean it, im leanin

폭발해 ADRENALINE

숨 떨리는 이 자극
it's to die for - die - die for
끊어지는 이성에
got me spinnin around

Hy - Hyper - Tonic
Hy - Hyper - Tonic
HYPER
Hy - Hyper - Tonic

Keepin it Hypertonic

I’ll be there 너의 마음 만들게 널 Crazy
You will never know 알려줄게 How many
women i cry about 있을때 위 Stage
It's stimulating 커지는 Heartbeat you ready

Yeah that’s me 고급 Pride woo
Five star 맞아 That’s right 네가 보는 난 umm
Let me tell you 난 널 알고싶은 마음뿐
So please you give me now woo

on and on and on and on and

황홀한 이 순간 속에

more and more and more and more and

걷잡을 수 없이 빠져

want it, want it, want it

중독된 환상
끊어내지 못해
so I mean it, I'm leanin
so won't you hold on tight

숨 떨리는 이 자극
it's to die for - die - die for
끊어지는 이성에
got me spinnin around

I think about it all the time
a work of art I found
Cuz Imma Hypertonic
ADDICT
Keepin it Hypertonic

Hy - Hyper - Tonic
Hy - Hyper - Tonic
HYPER
Hy - Hyper - Tonic

Keepin it Hypertonic"
17,17,사랑할 거야,박소은,"우린 춤을 추고 있었죠
끝나지 않을 밤인 것처럼

네가 어떤 사람인 건요
보이지 않는 맘이야 상관없죠

조금 이상한 사랑이어도 돼요
마음에 애정을 바르면 돼요
숨기지 말아요 다 보여줘도 돼요

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야

너는 겁을 먹고 있었죠
자라지 않은 어린애처럼

그런 너를 지키는 나는요
변하지 않을 맘이야 상관없죠

조금 이상한 사랑이어도 돼요
마음에 애정을 바르면 돼요
숨기지 말아요 다 보여줘도 돼요

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야

난 사랑할 거야
널 감싸안을 거야
이게 내 못난 마음의 전부야"
18,18,안녕은 언제나 어려워,최정윤,"시작할 때는 마냥 웃음만 나, 좋았지
끝이란 우리에게 없는 일이라 믿었지

헤어지는 일을 자연스레 받아들이려 해도ﾠ난
자꾸 슬퍼만 가 너의 두 눈을 마주칠 수가ﾠ없었어

눈물은 보이지 않기로 해
우리 절대 울지는 않기로 해
서로의 마음에 서로가 남았다면
우리 그렇게 안녕을 하기로 해

기억해 우리 처음 만나 어리숙한 모습들
어느덧 이제 담담하게 안녕을 말하려는 우리

헤어지는 일을 자연스레 받아들이려 해도 난
자꾸ﾠ슬퍼만 가 너의 두 손을 놓아줄 수가ﾠ없었어

눈물은 보이지 않기로 해
우리 절대 울지는 않기로 해
서로의 마음에 서로가 남았다면
우리 그렇게 안녕을 하기로 해

시간이 지나도 떠돌아다닐 거야

우리의 잔상들은 여기 그대로 남아
그 자리에 있을 테니까
눈물 흘리지 않기로 해

더 이상 아쉬움은 없기로 해

서로의 마음에 서로가 남았다면

그걸로ﾠ충분한 거 잘 알잖아


우리 손을 더 높이 흔들기로 해

더 빛나는 내일에 만나기로 해

서로의 날들에 서로가 남았다면
우린 그렇게 안녕을 하기로 해"
19,19,낙화,BehindtheMoon,"흔들리는 꽃의 모습
마지막 봄의 이슬
무심히 나리는 꽃은
멀리 흩날려 가네요
다신 멀어지고 싶지는 않았어요
함께 하기를 매일 바래요
혼자서 품에 안았던 꽃잎이 떨어져요
봄날의 꿈이 희미해져요
이 슬픔이 온 하늘을 전부 덮으려 해도
계절은 흘러가고 있어요
바람이 차가운 걸요
차창 밖의 해의 모습
일렁인 빛의 물결
지평선 아래 바다로
깊이 떠내려가네요
다신 멀어지고 싶지는 않았어요
함께 하기를 매일 바래요
혼자서 품에 안았던 꽃잎이 떨어져요
봄날의 꿈이 희미해져요
이 슬픔이 온 하늘을 전부 덮으려 해도
계절은 흘러가고 있어요

보이지 않는 것을 믿었어요
바람을 노래하며
혼자서 품에 안았던 꽃잎이 떨어져요
봄날의 꿈이 희미해져요
이 슬픔이 발걸음을 잠시 멈추려 해도
계절은 흘러가고 있어요
바람이 차가운 걸요"
