,title,artist,lyric
0,kuiz_sketch_220404.m4a,9o1,"After years and years, now I am here
I’ve been chasing my dream faded little by little
And it seems like It's gone for good
Thinking, what's left for me

Every story leaves a scar and every scar has its story
All these traces are engraved on my mind

After years and years, now I am all alone
I used to have faith in those people I adored
But it was just so superficial
Wonder, what's left for me

Every story leaves a scar and every scar has its story
All these burdens are destined for my life

Every scar has its story and every story leaves a scar
Every scar has its story and every story leaves a scar
Every scar has its story and every story leaves a scar
Every scar has its story and every story leaves a scar"
1,소나기 (feat. 예빛),SHUYA,"잠깐 내린 비에
네가 보고 싶어진 게 우습지
우산을 두드리는 빗소리보다
더 시끄러워진 내 마음
참 유난인 거 알아
여태 널 그리워하는 게
나도 너를 떠올리기 싫어
이까짓 날씨 하나에
이 비가 그치고 나면
나를 괴롭히는 너의 잔상도
모두 다 사라져 있을 거야
널 잃고 나약해진 나
몇 방울에 젖어 흐물거리는 나
알지 말아 줘
모두 흘려보내 줘"
2,무뎌진단건,projectsummit,"난 말야 있잖아 항상
무너지는게 싫었어 아프니까
무뎌지고 싶었어 무너지기 싫어서
무너질때마다 무뎌져갔어
돌아보니 무뎌지는것도 그리 좋진않아
무뎌진단게 그리 좋진않아
무뎌지는건 그닥 좋진않아
무뎌진다는건 무너진다는건
그리 좋지않아 그리 좋지않아
그리 좋지않아 그리 좋지않아 그리
난 말야 어느새 갑자기
무뎌지고 말았어 원하던대로
무너지기 싫어서 무너지기 싫어서
무너지지 않더라 무뎌지니까
무너져있는거더라 무뎌진다는건
무뎌진단게 그리 좋진않아
무뎌지는건 그닥 좋진않아
무뎌진다는건 무너진다는건
그리 좋지않아 그리 좋지 않아
그리 좋지않아 그리 좋지 않아
그리 좋진않은 이 기분
이 기분도 무뎌질까"
3,구름,박서하,"이 어두운 방안에 드리워진 네 그림자
어지럽혀진 내 생각, 그리고 너

우두커니 앉아서
방 천장을 올려다보니

빼곡히 고여있는
이곳의 날씨의 지배자

이대로가 내게 좋을까
괜찮을 것 같진 않지만
너는 내게 구름이 되어
감싸네

구름아 구름아 구름아 날 봐다오
구름아 구름아 구름아 날 봐다오"
4,몽마르뜨 언덕,장하윤,"몽마르뜨 언덕의 숲을 지나
샹젤리제 거리의 부티크 부티크

눈에 보이지 않으면서도
강한 인상을 남기는 최고의 악세서리
오 가브리엘 샤넬

우아한 여성에 대한
증거는 발끝에서 나오죠
우 나는 수년에 걸쳐
옷은 주인이 중요하단 걸 알았죠

코코 샤넬 크리스챤 디올 입생로랑
스타일을 갖는단건
유행하는 것에 대한 감각과
자신만의 진실함을 꼭 지키는 것

우아한 여성에 대한
증거는 발끝에서 나오죠
우 나는 수년에 걸쳐
옷은 주인이 중요하단 걸 알았죠

코코 샤넬 크리스챤 디올 입생로랑
스타일을 갖는단건
유행하는 것에 대한 감각과
자신만의 진실함을 꼭 지키는 것"
5,손잡아볼래요,안뉴(ANNEW),"너와 함께 길을 걸으면 하늘을 날고
날 부르는 목소린 꿈인 것만 같아
저 멀리서 환히 웃으며 손을 흔드는 너
우리 오늘 손잡아 볼래요?

너를 처음 본 날도 넌 오늘 같았어
설레는 만큼 두려웠는데
내 맘 놀라지 않게, 조심스럽게
너는 내게 스며 들었어

천천히 쌓이는 너와의 하루가
공기처럼 익숙해졌어

너와 함께 길을 걸으면 하늘을 날고
날 부르는 목소린 꿈인 것만 같아
저 멀리서 환히 웃으며 손을 흔드는 너
우리 오늘 손잡아 볼래요?

오늘도 널 보며 웃는 내 모습이
어느샌가 당연 해졌어

너와 함께 길을 걸으면 하늘을 날고
날 부르는 목소린 꿈인 것만 같아
저 멀리서 환히 웃으며 손을 흔드는 너
우리 오늘 손잡아 볼래요?

너의 손을 잡고 있으면 하늘을 날고
날 부르는 목소리 자꾸 듣고 싶어
저 멀리서 손을 흔들며 어서 오라는 너
정말 내겐 참 기적 같은 너"
6,"너를, 봄",서누 (seonu),"살랑살랑 가벼운 바람이 분다
나른하네 하늘을 보며 눈을 감아본다
눈꺼풀 위로 아른거리는 빛
부드럽게 나를 감싸는 햇살

너를 기다리며 잠시 나의 시간을 멈춰본다

눈을 뜨지 않을래
천천히 여유를 느낄래
살며시 번져가네
입가에 미소가 음-
기다림이 즐거워
어서 내게 다가와
서서 환하게 웃고 있을
너를 생각하며 음- 음-

잔잔하게 들리는 사람들 소리
바람 따라 살랑 춤추는 손끝

너를 기다리며 잠시 나의 시간을 멈춰본다

눈을 뜨지 않을래
천천히 여유를 느낄래
살며시 번져가네
입가에 미소가 음-
기다림이 즐거워
어서 내게 다가와
서서 환하게 웃고 있을
너를 생각하며 음- 음-

너를 생각하며 음- 음-"
7,말했다,이은재,"하루는 지나고
그대를 기억하죠
그저 머물 기만
했던 너의
전부가 어디에
흘러가 버린 것들 사이에서
나는 어디에
하얗게 바래진 창틀 사이에서
앉아서 널 향한다고

그저 널 말했다고
그저 널 향했다고
그저 널 바랬다고 말했다

그저 널 말했다고
그저 널 향했다고
그저 널 바랬다고 말했다

그저 널 말했다고
그저 널 향했다고
그저 널 바랬다고 말했다

그저 널 말했다고
그저 널 향했다고
그저 널 바랬다고 말했다

하루는 지나고
그대를 기억하죠
그저 머물 기만
했던 너의
전부가 어디에"
8,구름 위 달 가듯,오드리 양장점,"구름 위 달 가듯 흐르는 시간
호수 위로 비친 너울 속 그림자
구름 위 별 가듯 빛나는 순간
옷깃 사이 스민 차가운 숨 내음

잠시 잊었던 너의 빈자리 한없이 외로워지네
문득 그려진 달과 구름에 또 한 번 떠올린 얼굴

구름 위 달 가듯 흐르는 시간
호수 위로 비친 너울 속 그림자

잠시 잊었던 너의 빈자리 한없이 외로워지네
문득 그려진 달과 구름에 또 한 번 떠올린 얼굴

구름 위 달 가듯 흐르는 시간
호수 위로 비친 너울 속 그림자
구름 위 별 가듯 빛나는 순간
옷깃 사이 스민 차가운 숨내음"
9,Dream of True Love,hemming,"Everyone’s gonna hate you if you act that way
Everyone’s gonna leave you if you never change

But I can read you like my favorite book
You can’t dare to dream of true love
Sometimes you even doubt your mother’s love

But damn, you gotta stop fucking hurting your lover
We both know that it won’t make you feel any better

It’s just one of your twisted ways to put their love to the test
So you crush their souls into pieces
Just to find what you know is there

Everyone’s gonna hate you if you act that way
Everyone’s gonna leave you if you never change

But I’m not just anyone
You know I can never be
What runs in your blood runs in mine
It’s a gift, it’s a curse

But only you can change what you see in their eyes
Goddamn, you’re not a soldier returning with grace

It’s just one of your twisted ways to put their love to the test
So you crush their souls into pieces
Just to find what you know is there

No one will ever understand us
But you have me and I have you"
10,바람 사랑 봄,어진별,"겨울에 불어온 바람이
이제는 시원하게 느껴져
거울에 물어본 바램에
어제부터 찾아온 설렘들
따뜻한 햇살 속 그대와 내가 함께 걸을 땐
열 손가락의 꽃을 피워 손을 꼭 잡아요
바람에 꼭 잡은 우리 손을 흔들며 걸으니
꽃잎이 흩날리네요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 이대로 걸어요
따뜻한 햇살 속 그대와 내가 함께 걸을 땐
열 손가락의 꽃을 피워 손을 꼭 잡아요
바람에 꼭 잡은 우리 손을 흔들며 걸으니
꽃잎이 흩날리네요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 이대로 걸어요
바람 사람 사랑 봄
널 바람 사랑 바라봄
우리 그대로 있어요"
11,너에게 거는 주문,summitmusic,"one two three
너에게 작은 속삭임 하나
바람을 타고 네 귓가에 닿아
이 세상 모든 걱정 잊게 할
마법 같은 말, 지금 시작해
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라, 행복해
흐린 날도 비가 오는 밤도
너의 웃음으로 모두 씻겨나가
작은 기적을 믿어 볼 시간
너의 내일을 바꿀 주문을 외워
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라, 행복해
마법 같은 이 주문이
너의 모든 날을 밝혀줄 거야
어둠 속에서도, 너는 빛날 수 있어
행복의 노래, 함께 부르자
행복해져라, 행복해져라, 행복해지길 바래
행복해져라, 행복해져라, 행복이 가득해
너의 모든 걱정, 너의 모든 슬픔 사라지게
행복해져라, 행복해져라, 행복하라 행복해"
12,사진한장,하얀고래,"너랑 나랑 같이 걷던 길
나는 그 길에 서 있어
길꽃들 처럼 피어난 미소와 따스한 너 하나

넌 작은 화분들을 보다가
날 잡아 끌어 함께 본 그 꽃보다
꿈처럼 더 행복한 그 날, 그 속에
아직 낯익은 우리 둘 모습

하얀 미소로 수줍은 나를 바라보던 너
모든게 달라져버린 지금도 기억한다고

아직까지도 내 몸속엔 어딘가에 니 향기
남은게 하나 없는 사랑도
너와 나였으니


넌 떠나가고 혼자 남아 부르는 이 노래
행복한 모습으로 넌 있을까
기억속에 홀로 버려진 추억
마음아픈 상처는 이제 괜찮니

하얀 미소로 수줍은 나를 바라보던 너
모든게 달라져버렸다 해도 다 기억한다고

아직까지도 내 몸속엔 어딘가에 니 향기
남은게 하나 없는 사랑도
너와 나였음을 난 기억해

루 루루 루루 루루 루루
이 노랠 니가 들을 수 있다면
주고 싶었던 행복
전할 수 없었던 너 하나"
13,Only you,폴에트 (Poloet),"(Only you)

내 사랑이 마지막이라면
그대가 가장 먼저 떠올라
이건 내 영원한 상 쳐일까
내 모든 걸 잃어도 be alright
이 밤이 지나가면
다신 돌아갈 수 없어
아픔이 사라지면
그댄 어디 있을까

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게

수놓은 별처럼
내 그늘 안에도
밝게 피어나는 마음
slowly down
Anymore 그대를 잡아놓을 순 없어
if i love woo woo woo
fallin us
이제 날 봐줘 woo hoo hoo
아무 말 없이
내 곁에 와 속삭여
내게 사랑을 지금 말해줘요

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게

짙은 밤 깊은 심연 속으로
추락한 나를 끌러 올려줘
알잖아 내 전부였던 너
내일도 잊은 채 널 기다려

내 마음속 별이 되어줘요
내가 밤에 지워져가도
그대를 찾아볼 수 있게
내 마음속 달이 되어줘요
내가 밤에 잊혀져가도
그대를 알아볼 수 있게"
