,title,artist,lyric
10,panic (공황),Young-T,"I never say you before
so many think and want to see my heart
Actually today
I've been having a hard time

사람들이 내가 밝다고 들었던 어느날
갑자기 전화가 왔어
아프진 않은지 별일 없는지
사실 말은 안 했는데

이런 말 하면
엄마 마음 아프니까
굳이 말 안 해도 I'm fine
있잖아, 내가 할말이 있는데

I never say you before
so many think and want to see my heart
Actually today
I've been having a hard time


내가 잠들어 있을 때 문소리에 눈을 떠
잠든 나의 머리 위에
산타가 선물을 두고 간 걸 봤어도
I still believe in santa
I still believe in 너와 나
가끔 실수하고 기운이 없어도 ALL right

thank you so much
for my friends and support
고마워 안 잊을게
Don't forget you and I
forever and ever
괜찮아 네가 있잖아
예전보다 지금이잖아
내 걱정마

I never say you before
so many think and want to see my heart
Actually today
I've been having a hard time"
11,Study Of Love(Song by SIYA),HEADY,"This is a huge feeling with a fixed time limit.
I measured you over and over again and again

Did you even like me? Did you even love me?
I'm feeling it love you.
I can't touch it, I can't see it

If this isn't love, what is it?
Are you going to learn love?
Can't you just do what you want?
If this isn't love

what is it?


Will it be the same as before
when we'll see each other again?
You were watching until I went away.
until the end

Did you even like me? Did you even love me?
i feeling it is now.
I can't hear it, I can't feel it

If this isn't love, what is it?
Are you going to learn love?
Can't you just do what you want?
If this isn't love

what is it?"
12,Like you used to,jumin,"I’m praying for this love we got
Might be made for this love we not
Anyway you’ll be the only part
Either ways can be the only part
Wish you better dreams every night
Wish you stand on your every height
Wish I could be the only one in kind
Wish we could never fall in love with the world
Just wanna get on to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
On to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
I’m praying for this love we got
Might be made for this love we not
Anyway you’ll be the only part
Either ways can be the only part
Wish you better dreams every night
Wish you stand on your every height
Wish I could be the only one in kind
Wish we could never fall in love with the world
You slide on my phone like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
You slide on my body like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
Just wanna get on to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
On to you
Just wanna get up with you
Just wanna be all in two
Just wanna be all of your
You slide on my phone like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal
You slide on my body like you used to
For the days I cried on my own, I get loose too
Sometimes you break my chambers into like Bruce do
Recombination professional, you’re coastal"
13,미완성,웰빙 쿠키 (wellbeing kooki),"별이 빛나던 어둑 한 밤
가만히 앉아 소원 하나를 빌었네

그 밤은 몰라 얼마나 바랬는지
어둑해진 달 만 더 깊어져 가네

하늘에 날린 별들
두둥실 가는 구름
붉게 물든 가로수

철 없이 쏘 다니던 아이는
옹기종기 앉아있던 사람들
그 사이사이사이로
파란 파란 파란

너와 함께 떠 다니던 순간들
바람에 일렁이던 낙엽은
그림 같았던 추억은
파랑 파랑 파랑"
14,제목 없씀,웰빙 쿠키 (wellbeing kooki),"오늘 하루 너무 많이 힘들었죠
너무 예쁜 그댈 코 앞에서 봤죠
어떻게 할지 몰라서 자릴 피했죠
그래요 나는 널 조아해요
너무 예쁜 그대에게 다가가요
그런데 너무 떨려서 또 도망쳤죠
정말 바보같죠 나
이렇게 왔다갔다만 하다
오늘 하루도 끝나가요

그대여
그대여
그대여
오늘한번만날아라주세요"
15,Say Yes,yeil,"oh no no
Baby take it slow
내 밑에 있어줘
why don't you love me
I wanna touch you back
i know i cant
넌 나를 믿지 못해
say yes say yes

oh no no
Baby take it slow
내 밑에 있어줘
why don't you love me
I wanna touch you back
i know i cant
넌 나를 믿지 못해
say yes say yes

sey yes sey yes
안돼 이젠
난 널 만나서 다행이야
정신없던 밤이야
우린 이젠 남이야
또 말해 넌 (no)
쫌 지쳤어
내 맘은 아니래
근데 너가 왜그래
나를 찾아오지마
결국엔 안 돌아가

oh no no
Baby take it slow
내 밑에 있어줘
why don't you love me
I wanna touch you back
i know i cant
넌 나를 믿지 못해
say yes say yes

oh no no
Baby take it slow
내 밑에 있어줘
why don't you love me
I wanna touch you back
i know i cant
넌 나를 믿지 못해
say yes say yes"
16,Blind,BIG Key,"I was blind
두눈이 멀었었네
기억이 안날 만큼 나를 속였지...왜?
I was blind
두눈을 감았었네
내 앞에 놓인것들을 전부 모른척 해
Goin goin goin to down
Goin goin goin to ground
Goin goin goin to down
처음 눈이 떠졌을 그때는 어렸네
아무렇지 않게 순간들을 버렸기에
너무 많은 핑계들로 나를 채우고
핏대세워 우겨대며 자존심 세우고
한마디 뿐이였던 약속
같잖은 이유들을 들먹여 영화속
비련은 모두 내 앞에 있는 듯 행동해
시련은 사실 아직 찾아오지도 않았는데
Always feeling down
뭐해? 라 묻는 말엔 매번 cynical해
Always let me down
Myself 눈 가리고 안 보이는 척을 매일
이제는 더이상 눈을 감을 순 없어
안대를 벗고 그 눈을 떠봐
I was blind
두눈이 멀었었네
기억이 안날 만큼 나를 속였지...왜?
I was blind
두눈을 감았었네
내 앞에 놓인것들을 전부 모른척 해
Goin goin goin to down
Goin goin goin to ground
Goin goin goin to down
돌아갈 수 없다는 건 누구보다 잘 알잖아
시간은 앞에서는 내 큰 욕심들은 작고 하찮아
이룰 수 없는 것들로 가득 차 있어 내 머리속에는
거짓말을 해서라도 가져야겠다는 어리석게 늘
움직이진 않으면서 남을 욕하고 깎아내려
네 노력은 운이면서
나를 치켜세우고 존심을 채우려
요령만 늘고 배우려 안 했으니
아무도 날 찾지 않아
불평만 세상은 왜 날 싫어하나
변한지 않으면 되는건 하나도
그때의 내가 여기 있음 피할걸 나라도
남기지 않을게 이젠 다 태워버리고
더 이상 눈을 감지 않아 미래는
I was blind
두눈이 멀었었네
기억이 안날 만큼 나를 속였지...왜?
I was blind
두눈을 감았었네
내 앞에 놓인것들을 전부 모른척 해
Goin goin goin to down
Goin goin goin to ground
Goin goin goin to down"
17,Come with you,Oli,"come with you
come with you
다신 돌아갈 수 없단 것도 알아
너무 멀리 와버렸어 나도 알아
무작정 걸어갔던 길이 답이 아닐 때
혼자서 버티기엔 너무나 버거운데
잃져버린 시간들을 쫓아가기엔
너무 낭비 같아 내 인생에서 반비례
이런 삶은 너무나도 피폐해
돌아가야 해
우리 행복했었던 그때로
꼭 떠나가야 한다면
차라리 너를 따라갈게
come with you
나랑 같이 떠나가자
come with you
혼자는 이제 싫어
갈 거면 나도 데리고 가줘
(고객님의 전화기가 꺼져있어
삐 소리 이후 음성사서함으로 연결됩니다
연결된 후에는 통화료가 부과됩니다)
전화 좀 받아줄래
아직 할 말 남았지
통화료가 부과된다고
그러는데 뭐 어쩌라고
그딴 게 뭐가 아깝겠어
너의 insta profile
이제 다시는 못 봐
너를 또 찾아 헤맬까 봐
잠을 잘 못 자
그리워 all night
다시 내게 돌아와 줘
come with you
나랑 같이 떠나가자
come with you
혼자는 이제 싫어
갈 거면 나도 데리고 가줘
come with you
come with you
내 옆에 남아주면은 안돼
come with you
come with you
너가 아니면 나는 안돼
come with you
come with you
너를 어떻게 잊어버릴 수가 있겠어
come with you
come with you
그냥 내 옆에 남아있어줘
come with you"
18,벼락릴레이,율 (YOOL),"내가 가장 믿는 사람 그건 내일의 나
너에게 모든 걸 맡기고 나는 쉴게
벼락치긴 너의 가장 특기 ‘우르릉 쾅쾅’
비장의 무기지
그렇다고 억울해하진 마 ‘괜찮아’
너에겐 모레의 내가 있어 미루면 돼
일이 많을 땐 너무 힘이 들 땐
미래의 널 믿어봐
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
어제의 나에게 말할게 ‘괜찮다고?’
니가 한 번 쳐봐라 벼락 얼마나 힘든데
어저께의 나도 그저께의 나도
너무한 거 아니니
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
난 왜 항상 미룰까 반복되는 작심삼일
후회막심 앞이 깜깜해
난 왜 항상 미룰까 반복되는 작심삼일
그렇다면 매일 계획 세우면 되지
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
I believe in you & me & you
바톤 터치 이제는 너의 차례야
I believe in me & you & me
이번에도 잘 부탁해 you & you & you"
19,너에게 내가 (Prod. 우티 woo t),김이삭,"너에게 내가 무엇이 될 수 있을까
위로가 될까
다정하면 좋을까 그러면 네가 웃을까
습관이고 싶어

조바심 낼 것 없이
필요 할 때 빚을 지고 갚은
연인이 될 수 있을까

함께 울고 싶은 사람이 되어
가끔은 멈춰서 널 지켜보다가
꼭 안아주면 될까 너라면 그러고 싶어
내 것을 다 줘도 난 좋아

너에게 내가 무엇이 될 수 있을까
최선이 될까

부담감 하나 없이
필요 할 때 채워 주는
인연이 될 수 있을까?

함께 웃고 싶은 사람이 되어
가끔은 멀리서 널 바라보다가
꼭 안아주면 될까 너라면 그러고 싶어
사랑을 다 줘도 난 좋아

흩어진 조각 퍼즐 하나로 맞춰가며
계속 보아도 좋은 사이
꾸준한 대화 속에 문제 하나 하나
정돈 되는 우리"
