,title,artist,lyric
10,몽마르뜨 언덕,장하윤,"몽마르뜨 언덕의 숲을 지나
샹젤리제 거리의 부티크 부티크

눈에 보이지 않으면서도
강한 인상을 남기는 최고의 악세서리
오 가브리엘 샤넬

우아한 여성에 대한
증거는 발끝에서 나오죠
우 나는 수년에 걸쳐
옷은 주인이 중요하단 걸 알았죠

코코 샤넬 크리스챤 디올 입생로랑
스타일을 갖는단건
유행하는 것에 대한 감각과
자신만의 진실함을 꼭 지키는 것

우아한 여성에 대한
증거는 발끝에서 나오죠
우 나는 수년에 걸쳐
옷은 주인이 중요하단 걸 알았죠

코코 샤넬 크리스챤 디올 입생로랑
스타일을 갖는단건
유행하는 것에 대한 감각과
자신만의 진실함을 꼭 지키는 것"
11,제목 없씀,웰빙 쿠키 (wellbeing kooki),"오늘 하루 너무 많이 힘들었죠
너무 예쁜 그댈 코 앞에서 봤죠
어떻게 할지 몰라서 자릴 피했죠
그래요 나는 널 조아해요
너무 예쁜 그대에게 다가가요
그런데 너무 떨려서 또 도망쳤죠
정말 바보같죠 나
이렇게 왔다갔다만 하다
오늘 하루도 끝나가요

그대여
그대여
그대여
오늘한번만날아라주세요"
12,넌 내겐 많은 의미야,이다하,"날 보는 투명한 너의 눈빛에
내 마음도 비쳐질 것 같아
나란히 걷는 지금 이 순간만큼
너도 나와 같길 기도하고 있어

살며시 그리움이 불어와
난 조금씩 너에게 다 가고 있어

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네가 또 난 미워져

어제는 온종일 네 생각만
나의 시간은 멈춰져 있어
온전히 나의 너를 향한 마음을
수없이 고민해 그리고 또 확인해

점점 더 피어나는 내 맘이
난 조금씩 너에게 다 가고 있어

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네가 또 난 미워져

솔직하지 못한 내 마음에 용기를 내볼게
너의 앞에 당당히 마주 보고
네 곁에 내가 있어 줄게

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네 모습이 난 좋아"
13,우리 꼭 다시 만나자 (Feat. 숨비),프로젝트 연,"피어오르지 못한
노란 꽃들이
봄바람 따라서
살랑거리는 그날에
침묵해야만 했던
거센 파도가
생기를 머금고
철썩 거리는 그날에

바람이 되고
파도가 되는 그날에
갈대가 되고
오름이 되는 그날에

우리 꼭 다시 만나자
우리 꼭 다시 만나자

붉은빛 불타오르던
한라산이
샛바람 따라서
넘실 거리는 그날에
통곡의 세월을 견뎌낸
붉은 동백 꽃
봉우리째 떨어지는
찬란한 그날에

바람이 되고
파도가 되는 그날에
갈대가 되고
오름이 되는 그날에

우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자

우 우우 우우우
우 우우 우
우 우우 우우우
우 우우 우

우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자"
14,Come with you,Oli,"come with you
come with you
다신 돌아갈 수 없단 것도 알아
너무 멀리 와버렸어 나도 알아
무작정 걸어갔던 길이 답이 아닐 때
혼자서 버티기엔 너무나 버거운데
잃져버린 시간들을 쫓아가기엔
너무 낭비 같아 내 인생에서 반비례
이런 삶은 너무나도 피폐해
돌아가야 해
우리 행복했었던 그때로
꼭 떠나가야 한다면
차라리 너를 따라갈게
come with you
나랑 같이 떠나가자
come with you
혼자는 이제 싫어
갈 거면 나도 데리고 가줘
(고객님의 전화기가 꺼져있어
삐 소리 이후 음성사서함으로 연결됩니다
연결된 후에는 통화료가 부과됩니다)
전화 좀 받아줄래
아직 할 말 남았지
통화료가 부과된다고
그러는데 뭐 어쩌라고
그딴 게 뭐가 아깝겠어
너의 insta profile
이제 다시는 못 봐
너를 또 찾아 헤맬까 봐
잠을 잘 못 자
그리워 all night
다시 내게 돌아와 줘
come with you
나랑 같이 떠나가자
come with you
혼자는 이제 싫어
갈 거면 나도 데리고 가줘
come with you
come with you
내 옆에 남아주면은 안돼
come with you
come with you
너가 아니면 나는 안돼
come with you
come with you
너를 어떻게 잊어버릴 수가 있겠어
come with you
come with you
그냥 내 옆에 남아있어줘
come with you"
15,벼락릴레이,율 (YOOL),"내가 가장 믿는 사람 그건 내일의 나
너에게 모든 걸 맡기고 나는 쉴게
벼락치긴 너의 가장 특기 ‘우르릉 쾅쾅’
비장의 무기지
그렇다고 억울해하진 마 ‘괜찮아’
너에겐 모레의 내가 있어 미루면 돼
일이 많을 땐 너무 힘이 들 땐
미래의 널 믿어봐
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
어제의 나에게 말할게 ‘괜찮다고?’
니가 한 번 쳐봐라 벼락 얼마나 힘든데
어저께의 나도 그저께의 나도
너무한 거 아니니
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
난 왜 항상 미룰까 반복되는 작심삼일
후회막심 앞이 깜깜해
난 왜 항상 미룰까 반복되는 작심삼일
그렇다면 매일 계획 세우면 되지
I believe in you & me & you
무슨 일이 있어도 다 해낼 거야
I believe in me & you & me
믿을 사람 정말 많네 you & you & you
I believe in you & me & you
바톤 터치 이제는 너의 차례야
I believe in me & you & me
이번에도 잘 부탁해 you & you & you"
16,열쩡.,웰빙 쿠키 (wellbeing kooki),"난 내가 원하는건 세상에 많은데
그걸 할 힘이 아직 조금 딸리는듯해

체력을 기르자고 매일 다짐을 했네
어제보다 더 강해져, 이루기를 잘했네

하고싶은 걸 도전하는사람 그게 난데
손은 두개뿐이지만 난 다 하네

하나씩 처리해 마치 올라 클라이밍
기어코 해낼게 뭐든지 가뿐히 jumping

네가 멀어져 갈수록 난 더 빠르게
네가 흐릿해질수록 난 더 선명하게

가다보니 알았어 난 붙잡을 놈이란걸
포기는없어 또 뭐든 이뤄낼거란걸

내 인생은 내가 더 잘 알아
이십 몇년 살다보니 더 잘 알아

나이가 깡패는 아니지만
난 그냥저냥 흘려보내지않을테니까

하고싶은걸 다 하는사람
손을 들어 !~~

하고싶은거 다 이뤄낼 사람
손을 들어 !~~

하고싶은걸 다 하는사람
손을 들어 !~~

하거싶은거 다 이뤄낼 사람 ?
너네들 다 손들어
빵빵 !!

손은 두개뿐인데 어떻게 여러가질 동시에 해
난 그런거 못해 너나 실컷해 자식아

한가지 일에 집중 십중 팔구 이제 변함없네
드라마 ost 반복듣기 사라져

시간이 지나 영원한건없는건가봐
왜 그리 듣던 플리는 다 어디로 갔나봐

영원이란 단어는 쉽게 쓰는게 아닌가
몰라 요오 나는 그냥 살래 uh uh !

그냥 계절처럼 계절따라 살아갈래
너무 긴 생각은 필요없어 그냥 , 그냥해

계란으로 바위를 수십번 친 멍청이
그게 뭔지도 모르고 그냥 또 던졌지

우리들은 실수에 연속인 시간안에? ,아니
다음엔 하지않지 그래서 실수라 않지

넘어짐 다신 그 자리에 넘어지지않아
또 다시 넘어짐? 건 실수 아니잖아"
17,I Go My Way,choiboi (초이보이),"Did you think this would make me cry?
‘Cuz you’re right, I am on my four legs
As of now I’m a waterfall
In a way, I’m cleansing in and out

Will my stream give life to these woods?
‘Cuz I want to be of help at least
Though I cannot control the flow
I hope these flowers don’t suffocate

Will I learn to go about the world in my way?
Everything is so exhausting right now
How do you look so in control of life?
Can you please teach me how to be like you?

Silently I breathe in and out
Then again I go and break apart
Because I am a waterfall
All these fishies live inside my brain

If I spill more, I’ll go too far
Not just stones, I can make rocks fall down
Though I cannot control the flow
I hope that I don’t start crumbling down

Will I learn to go about the world in my way?
Everything is so exhausting right now
How do you look so in control of life?
Can you please teach me how to be like you?"
18,Where Am I?,zytpk,"You already know
Cause you already know
You already know
Cause you already know
언젠가부터 난 먹이
언제가부터 난 먹히지
언젠가부터 난 나의 먹이
(언젠가부터 난 나의 먹이)
끝도 없이 잡아 먹히지
(끝도 없이 잡아 먹히지)
피와 살이 돼 전혀 다른 내가 돼
자꾸 물이 넘치네 여기저기 데이네
Where am I going
Where are my boys
Where am I going
Where are my girls girls girls
Where am I going
Where are my boys
Where am I going
Where are my girls girls girls
언젠가부터 난 먹이
언제가부터 난 먹히지
언젠가부터 난 나의 먹이
(언젠가부터 난 나의 먹이)
끝도 없이 잡아 먹히지
(끝도 없이 잡아 먹히지)
피와 살이 돼 전혀 다른 내가 돼
자꾸 물이 넘치네 여기저기 데이네
Where am I going
Where are my boys
Where am I going
Where are my girls
Where am I going
Where are my boys
Where am I going
Where are my girls
Where Where Where am I going
Where Where Going Going
Where Where Where am I going
Where Where Going Going
Where Where Where am I going
Where Where Going Going
Where Where Where am I going
Where Where
언젠가부터 난 나의 먹이
(언젠가부터 난 나의 먹이)
끝도 없이 잡아 먹히지
(끝도 없이 잡아 먹히지)
피와 살이 돼 전혀 다른 내가 돼
자꾸 물이 넘치네 여기저기 데이네
언젠가부터 난 나의 먹이
끝도 없이 잡아 먹히지
피와 살이 돼 전혀 다른 내가 돼
자꾸 물이 넘치네 여기저기 데이네"
19,이상한 상상,정현우,"난 조금 너도 조금
그저 조금씩 달랐을 뿐이야
난 함께 너도 함께
다른 그림을 그렸을 뿐이야

이상하다 분명
같은 방향을 봤는데
어디서부터 어긋난걸까?

사랑했던 우리
뜨거웠던 그 날
달콤한 사랑 속삭였는데

이제 와서 보니
이상적인 생각
우린 현실을 너무 몰랐어

솔직하게 말한다면
맞춰 갈 수 있다 생각했어
근데 우린 끝내 서로
꺼낼 용기가 없었을 뿐이야

말했었지 너는
내 모습 있는 그대로
사랑할 사람 있을 거라고

사랑했던 우리
차가웠던 그 날
단호한 이별 말한 너인데

이제 와서 보니
이상했던 생각
처음부터 우린 달랐어

사랑이 뭐냐고 묻자
아픈 거라 말하며
무너지면 나는 어떡해

사랑했던 우리
체념했던 그 날
전하지 못한 마지막 한 마디

이상하겠지만
이상하지 않아

나는 너를 여전히 사랑해
다시 만난 우리를 상상해
상상 속에 이상적인 우리"
