,title,artist,lyric
10,너 잘났다,독거존슨,"너 잘났다! 니가 제일 잘났다
니가 니가 세상에서 제일 잘났다.

앞을 봐도 옆을 봐도
뒤를 봐도 잘난 사람들
세상에는 잘난 사람들뿐이지.

예전엔 내가 처 친구보다
훨씬 훨씬 잘났었는데
엄마 아빠 미안해요~

다시한번 부여잡고 시작해 보자.
그리고 다른 사람 인정해야지~

너 잘났다! 니가 제일 잘났다.
니가니가 세상에서 제일 잘났다.

그래 잘났다! 니가 제일 잘났어!
니가니가 세상에서 제일 잘났다.

잘되고 싶었지 잘되고 싶었지 나도
잘나가고 싶지 잘나가고 싶지 나도~
잘 될 줄 알았지 잘 될 줄 알았지 나도~오오

고등학교 동창 폼 나는 자동차
삐까뻔쩍 시계를 차고
등장했는데 모두들 뚱한 표정

예전엔 내가 저 친구보다
훨씬 훨씬 잘났었는데
엄마 아빠 미안해요~

다시 한번 부여잡고 시작해 보자.
그리고 다른 사람 인정해야지~

너 잘났다! 니가 제일 잘났다.
니가니가 세상에서 제일 잘났다.

그래 잘났다. 니가 제일 잘났어!
니가니가 세상에서 제일 잘났다.

아니아니아니아니아니아니아니

내가 잘났다 내가 제일 잘났어.
내가 내가 세상에서 제일 잘났다.
니가 내가 (둘 다) 세상에서 제일 잘났다!"
11,나야 나 (Prod. VENIRUS),허춘식,"바라 봐 나를
감동을 주는
사랑꾼 로맨티스트 남자

하늘의 별을
따다주려는
사냥꾼 그래 나는 상남자

자나깨나 눈이오나 믿어
힘들고 지칠때도 믿어
뭐든 믿고 맡겨 믿어
그래 바로 나야 나!

자나깨나 눈이오나 믿어
힘들고 지칠때도 믿어
언제라도 나를 항상 믿어
그래 바로 나야 나!

당신을 향해 그 곳으로
달려가는 외길 인생 나 나 나

난 진짜 솔직해
나는 진짜 단순해
당신만을 생각해
내 인생의 밝은 당신

일방통행 직진해
나를 믿고 선택해
당신만을 생각해
당신만의 밝은 별빛

그래 바로 나야 나
그래 바로 나야 나
그래 바로 나야 나
그래 바로 나야 나

당신의 맘을
딱 알아보는
재주꾼 너란 꽃을 둔 남자

당신과 꿈을
이루려하는
사랑꾼 그래 나는 순정남

난 진짜 솔직해
나는 진짜 단순해
당신만을 생각해
내 인생의 밝은 당신

일방통행 직진해
나를 믿고 선택해
당신만을 생각해
당신만의 밝은 별빛

당신을 향해 그 곳으로
달려가는 막무가내 나 나 나

그래 바로 나야 나
그래 바로 나야 나
그래 바로 나야 나
그래 바로 나야 나"
12,이별하는 뒷모습,민성,"이별하는 뒷모습

한마디 말이라도
해주세요
어떤 말이라도
괜찮아요

고마웠다는 말보단
사랑했다고
말해줄순 없나요?

그렇게 떠날거면
왜 사랑했나요
다신 붙잡지도
못하게

이별의 문턱앞에
서있는우리
이젠 다 끝인건가요?

떠나는 그대 뒷모습보며
안녕을 말하고 있어요
한번이라도
뒤돌아볼수 없나요

날 정말 사랑했다면

이별하는 뒷모습 앞에
아무것도 할수 없어요
행복했던 추억들
그것마저 거짓인가요

떠나지 말아요

그렇게 떠날거면
왜 사랑했나요
다신 붙잡지도
못하게

이별의 문턱앞에
서있는우리
이젠 다 끝인건가요?

떠나는 그대 뒷모습보며
안녕을 말하고 있어요
한번이라도
뒤돌아볼수 없나요

날 정말 사랑했다면

이별하는 뒷모습 앞에
아무것도 할수 없어요
행복했던 추억들
그것마저 거짓인가요

이별하는 뒷모습 앞에
아무것도 할수 없어요
행복했던 추억들
그것마저 거짓인가요

떠나지 말아요"
13,만취아리랑,발수건,"망할것들이 나를 부르네
썩을것들이 나를 부르네
오늘은 일찍 간다고 했는데
오늘만큼은 쉬고싶었는데...

닭발에 홍합탕 알탕에 곱창까지
소주가 청량하게 쳐다본다 나를 향해서
골뱅이무침에 치킨피자 한마음으로
맥주의 거품으로 나를 빠뜨리는구나...

한 잔이 두잔이 들어간다
어제도 오늘도 여지없다..
들어간다.. 여지없다..
와다다와다다다 오늘도 만취구나...
(아리아리랑) 오늘도 만취구나... (아리아리랑) 오늘도 여지없구나...
(아리아리아리랑)


망할것들이 나를 부르네
썩을것들이 나를 부르네
오늘은 일찍 간다고 했는데
오늘만큼은 쉬고싶었는데...

파전에 김치전 수육에 두부김치
막걸리 친근하게 손짓한다 어서오라고
제철에 찾아온 과일안주 마른안주도
술님의 그품으로 나를 인도하는구나...

한 잔이 두잔이 들어간다
어제도 오늘도 여지없다..
들어간다.. 여지없다..
와다다와다다다 오늘도 만취구나...
(아리아리랑) 오늘도 만취구나... (아리아리랑) 오늘도 여지없구나...
(아리아리아리랑)

망할것들이 나를 부르네
썩을것들이 나를 부르네
오늘은 일찍 간다고 했는데
오늘만큼은 쉬고싶었는데...
오늘은 일찍 간다고 했는데
오늘만큼은 쉬고싶었는데..."
14,그리운 예천,진하,"천문대 빛나는 별빛 바라보며
용문사 풍경소리 아련한데
먼산 부엉이 울어대고
내성천 오고가는 연인들의
사랑 꽃피네 강물인지 구름인지
하늘에 맞닿는 그림같은 회룡포
삼강주막 나룻터엔 배만 떠있고
쓸쓸한 주막만이 나를 반기네
꽃나비 춤을추고 문화가 살아숨쉬는
어머니 품속같은 그리운 예천아

천문대 빛나는 별빛 바라보며
용문사 풍경소리 아련한데
먼산 부엉이 울어대고
내성천 오고가는 연인들의
사랑 꽃피네 강물인지 구름인지
하늘에 맞닿는 그림같은 회룡포
삼강주막 나룻터엔 배만 떠있고
쓸쓸한 주막만이 나를 반기네
꽃나비 춤을추고 문화가 살아숨쉬는
어머니 품속같은 그리운 예천아
어머니 품속같은 그리운 예천아"
15,내사랑반쪽 (Cover Ver.),이다영,"당신은 내사랑에 반쪽 이구요 내인생에 둥지랍니다
사랑의 이름으로 우리둘이 하나되여 걸어가는 인생길에서
수많은 삶의고뇌 참고살아온 멋지고 아름다운 내사랑당신
정하나 사랑하나 오랜세월을 당신과 사랑으로 함께하면서
아~아~아~아~~ 내사랑반쪽 당신을 당신만을 사랑합니다
내사랑반쪽 당신을 사랑하며 아름다운 인생길 동행하리라

당신은 내사랑에 반쪽 이구요 내인생에 둥지랍니다
사랑의 이름으로 우리둘이 하나되여 걸어가는 인생길에서
수많은 삶의고뇌 참고살아온 멋지고 아름다운 내사랑당신
정하나 사랑하나 오랜세월을 당신과 사랑으로 함께하면서
아~아~아~아~~ 내사랑반쪽 당신을 당신만을 사랑합니다
내사랑반쪽 당신을 사랑하며 아름다운 인생길 동행하리라
내사랑반쪽 당신을 사랑하며 아름다운 인생길 동행하리라"
16,나 당신 옆에 있어요,정명제,"많이 힘들었나요
아니 혼자 참아온거죠
우연한 만남에 서로 잊지못했던
날들이 늘 생각이 나요

마음만 앞섰던 내게
기댈 곳이 되어준 그대
울지말아요 가까이 와요
이젠 내가 그댈 안아줄게

눈물이 난다 그댈 보고있으면
어느새 웃음 핀 눈물이 난다
행복해주세요 그 맘 변함없어요
나 당신 옆에 있어요

이제야 전해질까요
차마 할 수 없던 얘기도
우리가 그리던 이야기가 되어
펼쳐진 작은 순간이야

눈물이 난다 그댈 보고있으면
어느새 웃음 핀 눈물이 난다
행복해주세요 그 맘 변함없어요
나 당신 옆에 있어요

애달픈 마음에 미처 놓치던 것들
나 마음 다해 갚을게요

웃음이 난다 어딜 걸어간대도
그대가 있어서 웃음이 난다
이렇게 있어요 더 바랄게 없어요
그대 내 곁에 있어요
나 당신 옆에 있어요"
17,터미널에서,홍준보,"기적도 잠이 든 터미널에서
밤비를 맞고 걸었다
어차피 잊어야 할 사랑이라고
마음을 접었다
잘 가라는 말도 못 하고
멀어져 간 사람아
이별도 모르면서
왜 내 가슴에 안기었소
무슨 말을 해야 하나요
이제 와 무슨 말을

인적도 끊어진 터미널에서
눈물을 참고 걸었다
어차피 잡지도 못할 거면서
매달리긴 싫었다
잘 가라는 말도 못 하고
멀어져 간 사람아
이별도 모르면서
왜 내 가슴에 안기었소
무슨 말을 해야 하나요
이제 와 무슨 말을
이제 와 무슨 말을"
18,바람의 화가,최복은,"독도야 갈매기야 갈매기야 독도야
너 보러 왔다 내가 왔다 바람의 화가가
10년 만에 찾아온 독도, 갈매기는 와 저리 우노
독도야 말 좀 해라 그래 그래 그래
세월이 흘렀다 마음도 흘렀다 맹세했던
그 약속도 뜻 없이 흘렀단다 독도야 갈매기야
얼마나 보고파서 울고 왔겠니 얼마나
그리워서 가슴치고 왔겠니 독도야 갈매기야
그래 그래 그래, 그래 그래 그래

아무도 몰라줘도 내 마음 네가 알고
네 마음 내가 안다
독도야 갈매기야 갈매기야 독도야
그러니 울지말자 아파도 하지말자
언제까지나 언제까지나 그렇게 살아야 한다

갈매기야 독도야 독도야 갈매기야
너 보러 왔다 내가 왔다 바람의 화가가
10년 만에 찾아온 독도, 갈매기는 와 저리 우노
독도야 말 좀 해라 그래 그래 그래
세월이 흘렀다 마음도 흘렀다 맹세했던
그 약속도 뜻 없이 흘렀단다 갈매기야 독도야
얼마나 보고파서 울고 왔겠니 얼마나
그리워서 가슴치고 왔겠니 독도야 갈매기야
그래 그래 그래, 그래 그래 그래

우리들의 이 사연은
모르는 사람 빼고 다 안다
저 하늘도 알고 저 땅도 알고
저 구름 저 바다도 안다
왜 모르겠니 왜 모르겠니 너도 알고
나도 아는 일을 왜 모르겠어 왜 모르겠어
그래 그래 그래
독도야 갈매기야 갈매기야 독도야 너 보고 간다
내가 간다 바람의 화가가 바람의 화가가"
19,첫눈에,서진,"첫눈에 반했어요 첫눈에 반했어요 멋져요 예뻐요 아름다워요
당신을보는순간 내가슴은 터질 듯이 울렁거렸어 설레이였어
온몸에 사랑이넘쳤어 내사랑받아주는 그순간 당신도행복하게
될꺼야 지금까지 살아온 인생보다 더멋진인생 될꺼야
만나서 얘기하다보면은 진실한 내마음을 알면은 그때는 당신도
내사랑을 받아줄꺼야 첫눈에첫눈에 반했어요 첫눈에빠지고 말았어

첫눈에 반했어요 첫눈에 반했어요 멋져요 예뻐요 아름다워요
당신을보는순간 내가슴은 터질 듯이 울렁거렸어 설레이였어
온몸에 사랑이넘쳤어 내사랑받아주는 그순간 당신도행복하게
될꺼야 지금까지 살아온 인생보다 더멋진인생 될꺼야
만나서 얘기하다보면은 진실한 내마음을 알면은 그때는 당신도
내사랑을 받아줄꺼야 첫눈에첫눈에 반했어요 첫눈에빠지고 말았어
첫눈에첫눈에 반했어요 첫눈에 빠지고 말았어"
