,title,artist,lyric
10,이별,한정우,"처음에 이별이란게 이렇게 내게 아픔을 줄지 몰랐는데
이렇게 눈물이 많은줄도 몰랐었는데
웃음이 없는줄 알았던 내게 먼저 미소를 건네준 너라서
너와의 시간이 너무 생각이 나는걸

이별 한후 나도 내 모든 시간을 어떻게 써야할지 모른단 말야
이제는 생각하기 싫은데 첫사랑인 네가 계속생각나

너가 그리워 다정했던 우리가 이제는 서로 남이됐다니
복잡해 정리 한번해볼게 이제 그만 잊어보도록 할게
그래도 하나 기억해줘 난 아직 너를 그리워한단걸
마지막 이별하던 그 순간 내게 돌아온다면 다시 한번 너를 붙잡고 싶어

이별 한 후 나도 내 모든 시간을 어떻게 써야할지 모른단 말야
이제는 생각하기 싫은데 첫사랑인 네가 계속 생각나

너가 그리워 다정했던 우리가 이제는 서로 남이됐다니
복잡해 정리 한번해볼게 이제 그만 잊어보도록 할게
그래도 하나 기억해줘 난 아직 너를 그리워한단걸
마지막 이별하던 그 순간 내게 돌아온다면 다시 한번 너를 붙잡고 싶어"
11,심해 (deep sea),김태련,"아무도 찾아오지 않는 곳
어둠을 향해 뱉는 나의 언어들은
작은 공기방울이 되어
어딘가로 사라지네

하고싶은 말들이 너무 많아
그 말들이 무거워
저 깊은 바닷속으로
가라앉아 버린
나의 작은 배는
까만 물 아래 가만히
음-음


작은 공기방울이 되어
어딘가로 사라지네
음―

(사라지네
사라지네
바다가 되네)

하고싶은 말들이 너무 많아
그 말들이 무거워
저 깊은 바닷속으로
가라앉아 버린 ―
가라앉아 버린 ―
가라앉아 버린"
12,잠시 피었다 지는 벚꽃처럼 (Feat. 은민),2YM,"벚꽃이 피는 계절이 오면
우린 행복해질 거라 믿었어
분홍빛으로 물든 나무를 보면 너의
수줍은 얼굴이 떠올라

벚꽃이 피는 계절이 가고
한순간 시들어버린 너의 마음
아름다웠던 짧은 시간을 뒤로 한 채로
우린 멀어져 버렸어

잠시 피었다 지는 벚꽃처럼
우리도 그랬었나 봐
예뻤던 사랑도 금방 져버렸어
영원할 것 같던 우리의 약속마저도
우리 사랑은 벚꽃과도 같았어


너에겐 사랑이 쉬웠니
짧은 시간에 내가 다 잊혀 질 만큼
난 지금도 네가 자꾸만 생각나는데
넌 아무렇지 않나 봐

잠시 피었다 지는 벚꽃처럼
우리도 그랬었나 봐
예뻤던 사랑도 금방 져버렸어
영원할 것 같던 우리의 약속마저도
우리 사랑은 벚꽃과도 같았어

하지만 그 자리에 다시 피는 것처럼
우리도 다시 만날 수 있지 않을까
난 그때 그 자리에 아직 있는데
너도 나와 같을까

영원할 것 같던 우리의 약속마저도
우리 사랑은 벚꽃과도 같았어"
13,넌 내겐 많은 의미야,이다하,"날 보는 투명한 너의 눈빛에
내 마음도 비쳐질 것 같아
나란히 걷는 지금 이 순간만큼
너도 나와 같길 기도하고 있어

살며시 그리움이 불어와
난 조금씩 너에게 다 가고 있어

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네가 또 난 미워져

어제는 온종일 네 생각만
나의 시간은 멈춰져 있어
온전히 나의 너를 향한 마음을
수없이 고민해 그리고 또 확인해

점점 더 피어나는 내 맘이
난 조금씩 너에게 다 가고 있어

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네가 또 난 미워져

솔직하지 못한 내 마음에 용기를 내볼게
너의 앞에 당당히 마주 보고
네 곁에 내가 있어 줄게

넌 내겐 너무 많은 의미야
나의 작은 일상 속에 찾아와
송두리째 흔들고는
해맑게 웃으며 안부를 묻는
네 모습이 난 좋아"
14,우리 꼭 다시 만나자 (Feat. 숨비),프로젝트 연,"피어오르지 못한
노란 꽃들이
봄바람 따라서
살랑거리는 그날에
침묵해야만 했던
거센 파도가
생기를 머금고
철썩 거리는 그날에

바람이 되고
파도가 되는 그날에
갈대가 되고
오름이 되는 그날에

우리 꼭 다시 만나자
우리 꼭 다시 만나자

붉은빛 불타오르던
한라산이
샛바람 따라서
넘실 거리는 그날에
통곡의 세월을 견뎌낸
붉은 동백 꽃
봉우리째 떨어지는
찬란한 그날에

바람이 되고
파도가 되는 그날에
갈대가 되고
오름이 되는 그날에

우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자

우 우우 우우우
우 우우 우
우 우우 우우우
우 우우 우

우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자
우리 꼭 다시 만나자 우리 꼭 다시 만나자"
15,피어나,피어나,"꿈을 꾸고 있어요
하늘에서 내리는 눈꽃들과
그 사이에서 피어나는
사람들의 이야기
그 속에서 나는 어디에 있는걸까요
밤 하늘을 올려다보면
그리운 모습과 날들이
새 하얗게 떨어지는게
마치 빛과 같아요
무섭고 두렵지만
조심스럽게 꺼내볼게요
찬 바람이 불고 부는
세상 속에서
나 이렇게 힘들다는걸
아프다는걸
아무도 모르겠죠
어떡하면 좋을까요
어떻게 해야 할까요
내게 말해줄래요
서리꽃이 가득히 피어난 거리
별 하늘을 올려다보면
아득히 펼쳐 보이는
무수히 많은 반짝임
잘 보이지 않지만
비춰 내리는 단 한줄기 빛
찬 바람이 불고 부는
세상 속에서
나 이렇게 힘들다는걸
아프다는걸
아무도 모르겠죠
어디로 가야 하는걸까
나의 자린 어디에 있는걸까
남아있던 나의 작은 마음
흩어져버린 그 조각들을 따라가볼게요
내가 사랑한 이유는
당신 하나란걸
그대도 알고있나요
모르시나요
나만의 빛 늘 빛나줘요
찬 바람이 불고 부는
세상 속에서
나 이렇게 힘들다는걸
아프다는걸
그대만이 알고있죠
하지만 이젠 모두 꿈
깨어나야 할 시간
그 순간처럼 우리 모두 잊기로 해요
후회도 미련도 없이"
16,보고싶은,sangmo,"늦은 밤 집으로 돌아가는 길
거리엔 조용한 불빛들
밀려오는 많은 생각에
더뎌지는 내 발걸음

두 갈래 길을 지나가면
그 끝에 놓인 작은 정거장
항상 그 자릴 지켜주던 너
아주 조금 슬픈 기분

그리워요 그 순간들이
보고싶어요 그 때의 내 모습이
기억할게요 우리의 추억을
너와 함께했던 모든 날들을

무너져야 했을까? 나조차 나를
외면하고 있어 바보처럼
떠나가야 했을까? 나도 너처럼
돌아오지 못할 그 곳으로

외로워요 혼자 남겨진 나
애처로워요 나조차 버린 내가
이제 누가 나를 위로해줄까요
네가 떠나버린 이 세상에서

무너져야 했을까? 나조차 나를
외면하고 있어 바보처럼
떠나가야 했을까? 나도 너처럼
돌아오지 못할 그 곳으로

돌아갈 수 있을까? 나 예전처럼
미소 짓는 얼굴로 살 수 있을까?
네 손잡던 순간을 나 추억하며
지금보다 조금 행복하게

지금보다 조금 행복하게"
17,이상한 상상,정현우,"난 조금 너도 조금
그저 조금씩 달랐을 뿐이야
난 함께 너도 함께
다른 그림을 그렸을 뿐이야

이상하다 분명
같은 방향을 봤는데
어디서부터 어긋난걸까?

사랑했던 우리
뜨거웠던 그 날
달콤한 사랑 속삭였는데

이제 와서 보니
이상적인 생각
우린 현실을 너무 몰랐어

솔직하게 말한다면
맞춰 갈 수 있다 생각했어
근데 우린 끝내 서로
꺼낼 용기가 없었을 뿐이야

말했었지 너는
내 모습 있는 그대로
사랑할 사람 있을 거라고

사랑했던 우리
차가웠던 그 날
단호한 이별 말한 너인데

이제 와서 보니
이상했던 생각
처음부터 우린 달랐어

사랑이 뭐냐고 묻자
아픈 거라 말하며
무너지면 나는 어떡해

사랑했던 우리
체념했던 그 날
전하지 못한 마지막 한 마디

이상하겠지만
이상하지 않아

나는 너를 여전히 사랑해
다시 만난 우리를 상상해
상상 속에 이상적인 우리"
18,그곳의 봄,이옥상,"바람이 내게 불어와
손끝에 스칠 때
하얀 눈꽃이 눈물 흘리고
노란 꽃들이 미소를 짓는다

다시는 돌아오지 않을
그때의 그 향기
따스한 공기로 가득하던
또다시 나는 너를 찾는다

음 불어오는 바람도
음 잊지 못할
그때의 그 향기 너 조차도
음 음 그곳의 봄은 너였다

바람을 타고 내게 온
이 계절의 온기
나를 감싸 안은 구름들이
날 혼자 두고 멀어져 간다

음 떨어지는 눈물도
음 날아가는
쓸쓸한 꽃잎의 모습조차도
음 음 그곳의 봄은 너였다

파란 하늘 아래
홀로 서 있었던
초록빛 나무에 기대
스르르 잠에 들게 되면
그곳의 봄을 마주하죠

음 밤 하늘의 별처럼
바람에 흩날리는
나무와 꽃들의 춤 조차도
음 음 그곳의 봄은 너였다
음 음 그곳의 봄은 너였다"
19,너와 나 (Feat. 장서연 & 김시형),InpageM,"너와 함께 보내는 모든 시간 꿈처럼 마법처럼 펼쳐지는 놀라운 순간들
너와 손을 잡으며 같이 노래 부를 때 내게 주는 너의 시간 특별한 의미들
너와 나 눈빛 속에 보이는 우리만의 미래를 그려보고
너와 나 삶 속에서 나누는 특별하고 소중한 추억들을
함께 기뻐하며 함께 찾아가고 그 속에서 피아 난 사랑을
너와 함께 보내는 모든 시간 꿈처럼 마법처럼 펼쳐지는 놀라운 순간들
너와 손을 잡으며 같이 노래 부를 때 내게 주는 너의 시간 특별한 의미들처럼

너와 나 대화 속에 스며든 우리만의 생각을 꺼내보고
너와 나 마음속에 간직한 오랫동안 기억된 믿음들을
함께 아파하면 함께 치유하고 그 속에서 단단한 사랑을
너와 함께 보내는 모든 시간 꿈처럼 마법처럼 펼쳐지는 놀라운 시간들
너와 손을 잡으며 같이 노래 부를 때 내게 주는 너의 시간 특별한 의미들처럼

밤하늘 별과 같은 둘만의 순간 앞에
영원히 함께 가는 우리의 미래 위해

너와 함께 보내는 모든 시간 꿈처럼 마법처럼 펼쳐지는 놀라운 시간들
너와 손을 잡으며 같이 노래 부를 때 내게 주는 너의 시간 특별한 의미들처럼"
